host_timestamp_s,time_ms,connected,magnet_detected,magnet_too_weak,magnet_too_strong,agc,magnitude,raw_count,unwrapped_count,theta_deg,theta_rad,omega_rad_s
1776529395.448536,20999,True,False,True,False,255,331,2224,2224,0.0,0.0,0.0
1776529395.462580,21009,True,False,True,False,255,331,2225,2225,0.0879,0.001534,0.153398
1776529395.472867,21019,True,False,True,False,255,331,2224,2224,0.0,0.0,-0.153398
1776529395.475349,21029,True,False,True,False,255,332,2224,2224,0.0,0.0,0.0
1776529395.495013,21039,True,False,True,False,255,330,2224,2224,0.0,0.0,0.0
1776529395.503287,21049,True,False,True,False,255,331,2224,2224,0.0,0.0,0.0
1776529395.511828,21059,True,False,True,False,255,332,2224,2224,0.0,0.0,0.0
1776529395.523726,21069,True,False,True,False,255,332,2224,2224,0.0,0.0,0.0
1776529395.525981,21079,True,False,True,False,255,332,2224,2224,0.0,0.0,0.0
1776529395.543721,21089,True,False,True,False,255,332,2224,2224,0.0,0.0,0.0
1776529395.550365,21099,True,False,True,False,255,332,2224,2224,0.0,0.0,0.0
1776529395.560673,21109,True,False,True,False,255,332,2224,2224,0.0,0.0,0.0
1776529395.567295,21118,True,False,True,False,255,332,2224,2224,0.0,0.0,0.0
1776529395.577760,21129,True,False,True,False,255,332,2224,2224,0.0,0.0,0.0
1776529395.588006,21139,True,False,True,False,255,332,2224,2224,0.0,0.0,0.0
1776529395.598294,21149,True,False,True,False,255,331,2223,2223,-0.0879,-0.001534,-0.153459
1776529395.608564,21159,True,False,True,False,255,331,2224,2224,0.0,0.0,0.153337
1776529395.619083,21169,True,False,True,False,255,332,2223,2223,-0.0879,-0.001534,-0.153459
1776529395.629552,21179,True,False,True,False,255,331,2224,2224,0.0,0.0,0.153398
1776529395.640018,21189,True,False,True,False,255,332,2224,2224,0.0,0.0,0.0
1776529395.650478,21199,True,False,True,False,255,332,2224,2224,0.0,0.0,0.0
1776529395.660717,21209,True,False,True,False,255,331,2224,2224,0.0,0.0,0.0
1776529395.671044,21219,True,False,True,False,255,331,2223,2223,-0.0879,-0.001534,-0.153398
1776529395.681485,21229,True,False,True,False,255,332,2224,2224,0.0,0.0,0.153398
1776529395.691980,21239,True,False,True,False,255,332,2224,2224,0.0,0.0,0.0
1776529395.702248,21249,True,False,True,False,255,332,2224,2224,0.0,0.0,0.0
1776529395.712300,21259,True,False,True,False,255,330,2224,2224,0.0,0.0,0.0
1776529395.724121,21269,True,False,True,False,255,330,2224,2224,0.0,0.0,0.0
1776529395.732172,21279,True,False,True,False,255,330,2224,2224,0.0,0.0,0.0
1776529395.744309,21289,True,False,True,False,255,331,2223,2223,-0.0879,-0.001534,-0.153459
1776529395.752601,21299,True,False,True,False,255,331,2224,2224,0.0,0.0,0.153337
1776529395.758633,21309,True,False,True,False,255,331,2224,2224,0.0,0.0,0.0
1776529395.772893,21319,True,False,True,False,255,332,2224,2224,0.0,0.0,0.0
1776529395.772893,21329,True,False,True,False,255,332,2224,2224,0.0,0.0,0.0
1776529395.794018,21339,True,False,True,False,255,332,2224,2224,0.0,0.0,0.0
1776529395.802057,21349,True,False,True,False,255,330,2224,2224,0.0,0.0,0.0
1776529395.814214,21359,True,False,True,False,255,332,2224,2224,0.0,0.0,0.0
1776529395.820884,21369,True,False,True,False,255,332,2224,2224,0.0,0.0,0.0
1776529395.830135,21379,True,False,True,False,255,332,2224,2224,0.0,0.0,0.0
1776529395.834660,21389,True,False,True,False,255,331,2224,2224,0.0,0.0,0.0
1776529395.844529,21399,True,False,True,False,255,333,2223,2223,-0.0879,-0.001534,-0.153459
