case_name,case_description,length_m,q_x,q_x_dot,q_theta,q_theta_dot,R,K_x,K_x_dot,K_theta,K_theta_dot,peak_x_m,peak_x_dot_m_s,peak_theta_deg,peak_theta_dot_deg_s,peak_u_m_s2,settle_time_s
baseline,"Original first-pass upright LQR weights",0.5,1,0.1,50,1,1,-0.999999999999992,-2.00646000264071,-29.0664499454762,-6.44303238242541,0.225407505752226,0.292632402711683,5,14.0852915019749,2.53652626707343,1.46788990825688
baseline,"Original first-pass upright LQR weights",0.555555555555556,1,0.1,50,1,1,-0.999999999999998,-2.02816284960474,-29.495945490855,-6.88756029574126,0.24067482767358,0.308369308214673,5,13.6255557954972,2.57400682402097,1.53461217681401
baseline,"Original first-pass upright LQR weights",0.611111111111111,1,0.1,50,1,1,-1,-2.04889471381814,-29.9105406344698,-7.32233786756701,0.255555286965828,0.323429404746866,5,13.2304036003059,2.61018707561526,1.58465387823186
baseline,"Original first-pass upright LQR weights",0.666666666666667,1,0.1,50,1,1,-1.00000000000001,-2.06878002269444,-30.3121680871795,-7.74878475952418,0.270098449082468,0.337893146752906,5,12.8847682141027,2.64523568269617,1.63469557964971
baseline,"Original first-pass upright LQR weights",0.722222222222222,1,0.1,50,1,1,-1.00000000000001,-2.08791858677039,-30.702376742533,-8.16803340319115,0.284344006602798,0.35183800895723,5,12.5786984314307,2.67928781172467,1.68473728106756
baseline,"Original first-pass upright LQR weights",0.777777777777778,1,0.1,50,1,1,-1,-2.10639192676399,-31.0824304855146,-8.58100349353329,0.298324358677532,0.365324528546112,5,12.3057680718146,2.71245375747245,1.72643869891576
baseline,"Original first-pass upright LQR weights",0.833333333333333,1,0.1,50,1,1,-0.999999999999992,-2.12426765140823,-31.4533765338896,-8.98845342006594,0.312066377628019,0.378431946352773,5,12.0609417782074,2.74482490692947,1.75979983319433
baseline,"Original first-pass upright LQR weights",0.888888888888889,1,0.1,50,1,1,-0.99999999999999,-2.1416025733773,-31.8160940611635,-9.39101679284844,0.325592654716291,0.391175732195566,5,11.8389561433645,2.77647798245759,1.80150125104254
baseline,"Original first-pass upright LQR weights",0.944444444444444,1,0.1,50,1,1,-1,-2.15844498133196,-32.1713296371292,-9.78922901765957,0.33892240133674,0.403585833064924,5,11.6362018589016,2.80747813456168,1.8348623853211
baseline,"Original first-pass upright LQR weights",1,1,0.1,50,1,1,-0.999999999999996,-2.17483633168622,-32.5197236064979,-10.1835470402208,0.352072115759792,0.415686691767517,5,11.4497718182608,2.83788124385956,1.86822351959967
angle_aggressive,"Heavier theta and theta_dot penalty",0.5,1,0.1,100,2,1,-1,-2.09458986446611,-30.8392393650898,-6.73625260170905,0.220883833741782,0.287667914621325,5,14.549358153854,2.69123132865732,1.38448707256047
angle_aggressive,"Heavier theta and theta_dot penalty",0.555555555555556,1,0.1,100,2,1,-0.999999999999995,-2.11442749078445,-31.2487917256156,-7.18587649132865,0.235592916698848,0.303510362653525,5,14.0628049476799,2.72697151440976,1.4512093411176
angle_aggressive,"Heavier theta and theta_dot penalty",0.611111111111111,1,0.1,100,2,1,-1.00000000000001,-2.13343184673535,-31.6447617360796,-7.6257385274143,0.249967903183463,0.318669463753345,5,13.6419887629797,2.76152641651853,1.50959132610509
